Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure Type
M,297.2,308.3,1604.0,39.4,9.0,0,No Failure
L,297.3,308.5,1398.0,60.4,12.0,0,No Failure
L,297.3,308.4,1441.0,43.4,14.0,0,No Failure
H,297.3,308.4,1531.0,35.6,16.0,0,No Failure
L,297.2,308.3,1379.0,52.1,21.0,0,No Failure
L,297.3,308.3,1410.0,48.1,23.0,0,No Failure
L,297.3,308.4,1513.0,40.5,25.0,0,No Failure
L,297.3,308.5,1497.0,47.5,27.0,0,No Failure
L,297.3,308.4,1491.0,46.5,29.0,0,No Failure
L,297.3,308.4,1417.0,47.8,31.0,0,No Failure
M,297.4,308.6,1522.0,38.0,33.0,0,No Failure
L,297.3,308.4,1339.0,52.1,36.0,0,No Failure
M,297.2,308.3,1794.0,27.5,38.0,0,No Failure
L,297.2,308.4,1460.0,42.1,41.0,0,No Failure
M,297.2,308.3,1776.0,28.0,43.0,0,No Failure
M,297.2,308.3,1431.0,43.7,46.0,0,No Failure
L,297.1,308.2,1347.0,50.8,49.0,0,No Failure
M,297.0,308.1,1507.0,43.1,51.0,0,No Failure
M,297.0,308.0,1408.0,47.9,54.0,0,No Failure
M,297.0,307.9,1493.0,34.7,57.0,0,No Failure
M,296.9,307.9,1441.0,47.6,60.0,0,No Failure
H,296.9,307.9,1557.0,36.5,63.0,0,No Failure
M,296.9,307.9,1979.0,20.4,68.0,0,No Failure
M,296.9,308.0,1430.0,55.9,71.0,0,No Failure
L,296.9,308.0,1658.0,41.0,74.0,0,No Failure
M,297.0,308.1,1355.0,51.4,76.0,0,No Failure
H,297.0,308.1,1410.0,47.6,79.0,0,No Failure
L,296.9,308.0,1521.0,34.5,84.0,0,No Failure
L,296.8,308.0,1371.0,54.5,86.0,0,No Failure
H,296.9,308.0,1318.0,53.5,88.0,0,No Failure
M,297.0,308.1,1573.0,34.9,93.0,0,No Failure
L,297.0,308.1,1489.0,44.1,96.0,0,No Failure
H,297.0,308.1,2540.0,13.3,98.0,0,No Failure
L,297.0,308.1,1537.0,39.0,103.0,0,No Failure
H,296.9,308.0,1416.0,46.9,105.0,0,No Failure
L,296.9,307.9,1359.0,56.5,110.0,0,No Failure
M,296.8,307.8,1551.0,38.9,112.0,0,No Failure
M,296.8,307.8,1694.0,33.0,115.0,0,No Failure
L,296.8,307.9,1709.0,28.4,118.0,0,No Failure
L,296.9,308.0,1514.0,41.0,120.0,0,No Failure
L,297.0,308.1,1455.0,43.5,122.0,0,No Failure
M,297.0,308.2,1702.0,30.7,124.0,0,No Failure
M,296.9,308.1,1357.0,41.8,127.0,0,No Failure
L,297.0,308.2,1577.0,29.4,130.0,0,No Failure
L,297.0,308.3,1399.0,59.0,135.0,0,No Failure
L,297.0,308.3,1492.0,48.1,137.0,0,No Failure
L,297.1,308.3,1763.0,25.7,139.0,0,No Failure
H,297.1,308.3,1492.0,41.5,141.0,0,No Failure
L,297.1,308.4,1488.0,42.5,146.0,0,No Failure
L,297.1,308.4,1422.0,42.1,148.0,0,No Failure
M,297.1,308.4,1583.0,38.2,150.0,0,No Failure
L,297.1,308.4,1304.0,53.5,153.0,0,No Failure
M,297.1,308.4,1880.0,23.5,155.0,0,No Failure
M,297.2,308.5,1604.0,40.7,158.0,0,No Failure
L,297.2,308.6,1500.0,37.1,161.0,0,No Failure
M,297.2,308.5,1364.0,55.6,163.0,0,No Failure
H,297.2,308.5,2440.0,14.0,166.0,0,No Failure
H,297.1,308.4,1654.0,31.4,171.0,0,No Failure
H,297.1,308.4,1359.0,46.6,176.0,0,No Failure
M,297.1,308.4,1502.0,37.3,181.0,0,No Failure
M,297.1,308.4,1615.0,32.6,184.0,0,No Failure
H,297.2,308.5,1482.0,39.3,187.0,0,No Failure
L,297.2,308.6,1636.0,31.3,192.0,0,No Failure
M,297.1,308.5,1621.0,32.4,194.0,0,No Failure
L,297.1,308.4,1468.0,44.4,197.0,0,No Failure
M,297.1,308.4,1432.0,53.4,199.0,0,No Failure
L,297.1,308.4,1726.0,28.4,202.0,0,No Failure
M,297.1,308.4,1588.0,33.4,204.0,0,No Failure
H,297.2,308.5,1653.0,33.3,207.0,0,No Failure
L,297.2,308.5,1513.0,42.9,212.0,0,No Failure
L,297.2,308.6,1489.0,40.2,214.0,0,No Failure
L,297.3,308.7,1467.0,36.8,216.0,0,No Failure
L,297.3,308.7,1549.0,36.1,218.0,0,No Failure
M,297.4,308.8,1359.0,48.7,220.0,0,No Failure
L,297.5,308.8,1533.0,41.5,223.0,0,No Failure
L,297.5,308.8,1309.0,57.3,0.0,0,No Failure
H,297.5,308.8,1430.0,49.4,2.0,0,No Failure
H,297.5,308.9,1419.0,50.7,7.0,0,No Failure
M,297.5,308.9,1535.0,37.7,12.0,0,No Failure
L,297.5,308.9,1466.0,43.0,15.0,0,No Failure
L,297.5,308.9,1427.0,50.4,17.0,0,No Failure
M,297.5,308.9,1280.0,48.5,19.0,0,No Failure
L,297.6,309.0,1528.0,33.8,22.0,0,No Failure
H,297.6,309.0,1885.0,25.2,24.0,0,No Failure
H,297.8,309.2,1648.0,33.0,29.0,0,No Failure
L,297.8,309.2,1400.0,56.9,34.0,0,No Failure
M,297.8,309.3,2243.0,15.7,36.0,0,No Failure
L,297.9,309.4,1558.0,35.7,39.0,0,No Failure
L,298.0,309.6,1633.0,34.8,41.0,0,No Failure
M,298.1,309.6,1549.0,38.7,43.0,0,No Failure
L,298.0,309.5,1496.0,45.8,46.0,0,No Failure
L,298.1,309.5,1467.0,41.8,48.0,0,No Failure
M,298.0,309.4,1276.0,65.9,50.0,0,No Failure
H,298.0,309.4,1490.0,40.5,53.0,0,No Failure
H,298.0,309.4,1562.0,38.1,58.0,0,No Failure
L,298.1,309.4,1397.0,48.2,63.0,0,No Failure
H,298.1,309.5,1530.0,40.2,65.0,0,No Failure
M,298.1,309.4,1362.0,47.6,70.0,0,No Failure
M,298.2,309.4,1693.0,34.4,73.0,0,No Failure
M,298.2,309.4,1408.0,46.5,76.0,0,No Failure
L,298.2,309.4,1398.0,52.9,79.0,0,No Failure
M,298.3,309.6,1531.0,40.1,81.0,0,No Failure
H,298.3,309.5,1521.0,37.1,84.0,0,No Failure
H,298.3,309.5,1427.0,54.3,89.0,0,No Failure
L,298.3,309.4,1546.0,36.1,94.0,0,No Failure
L,298.3,309.4,1356.0,45.4,96.0,0,No Failure
L,298.4,309.5,2153.0,15.3,98.0,1,PWF
M,298.5,309.6,1492.0,41.7,100.0,0,No Failure
L,298.5,309.6,1582.0,40.3,103.0,0,No Failure
L,298.5,309.6,1419.0,41.5,105.0,0,No Failure
M,298.5,309.6,1441.0,48.2,107.0,0,No Failure
M,298.6,309.7,1635.0,32.2,110.0,0,No Failure
L,298.6,309.7,1429.0,45.8,113.0,0,No Failure
M,298.6,309.7,1675.0,28.4,115.0,0,No Failure
M,298.7,309.7,1868.0,23.8,118.0,0,No Failure
H,298.7,309.8,1582.0,33.4,121.0,0,No Failure
L,298.8,309.9,1486.0,40.3,126.0,0,No Failure
L,298.7,309.8,1402.0,54.3,128.0,0,No Failure
L,298.7,309.9,1621.0,34.1,130.0,0,No Failure
L,298.8,309.9,1428.0,42.4,132.0,0,No Failure
M,298.7,309.8,1343.0,53.6,134.0,0,No Failure
M,298.7,309.9,1458.0,40.2,137.0,0,No Failure
L,298.7,309.8,1322.0,57.0,140.0,0,No Failure
L,298.7,309.9,1483.0,32.8,142.0,0,No Failure
L,298.7,309.9,1593.0,42.5,146.0,0,No Failure
L,298.8,310.0,2098.0,19.6,148.0,0,No Failure
L,298.8,310.0,1672.0,30.4,150.0,0,No Failure
L,298.8,310.0,1487.0,41.4,152.0,0,No Failure
L,298.8,310.0,1423.0,42.1,154.0,0,No Failure
L,298.9,310.1,1750.0,25.0,156.0,0,No Failure
L,298.9,310.2,1654.0,31.1,158.0,0,No Failure
L,298.9,310.2,1498.0,50.2,160.0,0,No Failure
L,298.9,310.1,1587.0,30.2,162.0,0,No Failure
L,298.9,310.1,1473.0,42.6,164.0,0,No Failure
L,298.9,310.2,1359.0,56.9,166.0,0,No Failure
M,299.0,310.3,1635.0,34.5,168.0,0,No Failure
L,299.0,310.3,1520.0,45.0,171.0,0,No Failure
L,299.0,310.3,1507.0,36.7,173.0,0,No Failure
L,299.0,310.3,1428.0,46.3,175.0,0,No Failure
M,299.0,310.3,1582.0,33.3,177.0,0,No Failure
L,299.0,310.3,1929.0,24.4,180.0,0,No Failure
M,299.0,310.3,1540.0,38.1,182.0,0,No Failure
L,298.9,310.2,1362.0,53.0,185.0,0,No Failure
H,298.9,310.1,1452.0,49.9,187.0,0,No Failure
L,298.9,310.1,1361.0,51.7,192.0,0,No Failure
M,298.8,310.1,1243.0,74.5,194.0,1,PWF
H,298.8,310.1,1567.0,36.8,197.0,0,No Failure
L,298.9,310.2,1411.0,46.5,202.0,0,No Failure
L,298.8,310.2,1814.0,26.8,204.0,0,No Failure
M,298.8,310.1,1719.0,28.8,206.0,0,No Failure
H,298.8,310.2,1663.0,30.4,209.0,0,No Failure
L,298.9,310.2,1696.0,30.2,214.0,0,No Failure
H,298.9,310.2,1771.0,26.8,216.0,0,No Failure
L,299.0,310.3,1868.0,24.0,221.0,0,No Failure
M,299.0,310.3,1558.0,35.4,223.0,0,No Failure
L,299.0,310.4,1365.0,49.1,226.0,1,OSF
L,299.0,310.4,1371.0,53.8,228.0,1,OSF
L,298.9,310.3,1583.0,32.6,230.0,0,No Failure
H,298.7,310.2,1613.0,36.0,0.0,0,No Failure
L,298.6,310.1,1721.0,27.2,5.0,0,No Failure
M,298.6,310.2,1668.0,31.5,7.0,0,No Failure
L,298.6,310.2,1569.0,36.3,10.0,0,No Failure
M,298.6,310.2,1328.0,50.5,12.0,0,No Failure
M,298.6,310.1,1596.0,33.0,15.0,0,No Failure
L,298.5,310.2,1676.0,32.7,18.0,0,No Failure
L,298.5,310.1,1809.0,28.9,20.0,0,No Failure
L,298.5,310.0,1804.0,26.1,22.0,0,No Failure
L,298.6,310.1,1533.0,33.9,24.0,0,No Failure
L,298.7,310.2,1717.0,27.3,26.0,0,No Failure
L,298.7,310.2,1363.0,45.5,28.0,0,No Failure
L,298.7,310.2,1402.0,45.9,30.0,0,No Failure
L,298.7,310.2,1436.0,47.5,32.0,0,No Failure
L,298.7,310.2,1525.0,43.7,34.0,0,No Failure
M,298.7,310.2,1598.0,33.3,36.0,0,No Failure
M,298.6,310.1,1444.0,48.1,39.0,0,No Failure
L,298.6,310.0,1334.0,48.0,42.0,0,No Failure
M,298.6,310.0,1681.0,35.5,44.0,0,No Failure
L,298.6,309.9,1593.0,37.4,47.0,0,No Failure
L,298.6,309.9,1461.0,45.7,49.0,0,No Failure
M,298.7,310.1,1693.0,31.9,51.0,0,No Failure
L,298.7,310.2,1404.0,50.3,54.0,0,No Failure
H,298.8,310.2,1707.0,27.6,56.0,0,No Failure
M,298.6,310.1,1458.0,41.9,61.0,0,No Failure
L,298.6,310.0,1517.0,41.2,64.0,0,No Failure
L,298.7,310.1,1433.0,54.6,66.0,0,No Failure
L,298.7,310.2,1566.0,33.1,68.0,0,No Failure
L,298.7,310.1,1676.0,33.5,70.0,0,No Failure
M,298.7,310.1,1368.0,56.8,72.0,0,No Failure
M,298.8,310.2,1581.0,37.5,75.0,0,No Failure
H,298.8,310.3,1708.0,27.1,78.0,0,No Failure
M,298.7,310.3,1481.0,41.5,83.0,0,No Failure
L,298.7,310.3,1451.0,40.0,86.0,0,No Failure
M,298.7,310.3,1495.0,38.7,88.0,0,No Failure
M,298.8,310.3,1573.0,41.8,91.0,0,No Failure
M,298.8,310.3,1366.0,59.0,94.0,0,No Failure
L,298.8,310.3,1553.0,36.8,97.0,0,No Failure
M,298.8,310.3,1528.0,37.1,99.0,0,No Failure
M,298.8,310.2,1527.0,31.2,102.0,0,No Failure
L,298.8,310.2,1461.0,46.7,105.0,0,No Failure
H,298.8,310.2,1455.0,44.9,107.0,0,No Failure
L,298.7,310.1,1620.0,34.8,112.0,0,No Failure
L,298.7,310.1,1786.0,27.7,114.0,0,No Failure
M,298.8,310.2,1583.0,35.7,116.0,0,No Failure
L,298.8,310.1,1653.0,30.3,119.0,0,No Failure
M,298.9,310.2,1331.0,49.0,121.0,0,No Failure
L,298.9,310.3,1484.0,43.8,124.0,0,No Failure
M,298.9,310.2,1603.0,36.1,126.0,0,No Failure
L,298.9,310.2,1445.0,40.0,129.0,0,No Failure
L,298.9,310.1,1823.0,26.1,131.0,0,No Failure
H,298.9,310.1,1491.0,45.3,133.0,0,No Failure
L,298.9,310.2,1533.0,42.8,138.0,0,No Failure
L,298.9,310.2,1409.0,54.8,140.0,0,No Failure
L,298.9,310.2,2737.0,8.8,142.0,1,PWF
M,299.0,310.3,1494.0,46.6,144.0,0,No Failure
L,299.1,310.4,1594.0,33.3,147.0,0,No Failure
L,299.1,310.4,1527.0,44.0,149.0,0,No Failure
L,299.1,310.4,1452.0,39.7,151.0,0,No Failure
L,299.0,310.3,1483.0,39.2,153.0,0,No Failure
L,299.1,310.2,1569.0,38.2,155.0,0,No Failure
L,299.1,310.3,1472.0,46.6,157.0,0,No Failure
L,299.0,310.2,1533.0,43.5,159.0,0,No Failure
H,298.9,310.1,1366.0,62.7,161.0,0,No Failure
H,298.9,310.2,1532.0,37.7,166.0,0,No Failure
M,298.9,310.1,1313.0,56.8,171.0,0,No Failure
L,299.0,310.2,1372.0,48.0,174.0,0,No Failure
M,298.9,310.1,1555.0,40.6,176.0,0,No Failure
L,298.9,310.1,1394.0,42.7,179.0,0,No Failure
L,298.9,310.1,1442.0,48.0,181.0,0,No Failure
L,298.9,310.0,1564.0,33.8,183.0,0,No Failure
L,298.9,310.0,1452.0,48.9,185.0,0,No Failure
L,298.9,310.1,1466.0,42.5,187.0,0,No Failure
M,298.9,310.1,1469.0,53.2,189.0,0,No Failure
L,298.9,310.1,1944.0,23.4,192.0,0,No Failure
M,298.8,309.9,1415.0,53.2,194.0,0,No Failure
M,298.7,309.8,1528.0,36.7,197.0,0,No Failure
M,298.7,309.8,1570.0,42.1,200.0,0,No Failure
L,298.7,309.9,1617.0,33.0,203.0,0,No Failure
M,298.7,309.9,2083.0,18.2,205.0,0,No Failure
L,298.7,309.9,1541.0,38.5,208.0,0,No Failure
L,298.8,309.9,1320.0,47.4,210.0,0,No Failure
L,298.7,309.8,1354.0,53.3,212.0,1,OSF
M,298.8,309.9,1495.0,35.2,214.0,0,No Failure
L,298.7,309.8,1589.0,31.8,217.0,0,No Failure
L,298.7,309.8,1530.0,35.5,0.0,0,No Failure
L,298.7,309.8,1539.0,33.4,2.0,0,No Failure
L,298.7,309.7,1462.0,46.8,4.0,0,No Failure
L,298.6,309.7,1356.0,54.0,6.0,0,No Failure
M,298.7,309.7,1622.0,34.6,8.0,0,No Failure
L,298.7,309.8,1394.0,40.3,11.0,0,No Failure
L,298.8,309.9,1568.0,33.7,13.0,0,No Failure
M,298.9,310.0,1456.0,43.8,15.0,0,No Failure
L,298.9,310.0,1378.0,49.3,18.0,0,No Failure
M,298.9,309.9,1404.0,41.4,20.0,0,No Failure
L,298.8,309.8,1437.0,42.8,23.0,0,No Failure
L,298.8,309.8,1363.0,44.0,25.0,0,No Failure
M,298.8,309.8,1377.0,49.6,27.0,0,No Failure
H,298.8,309.9,1526.0,42.1,30.0,0,No Failure
H,298.8,309.8,1510.0,44.2,35.0,0,No Failure
L,298.8,309.9,1482.0,39.1,45.0,0,No Failure
M,298.8,309.8,1534.0,37.0,47.0,0,No Failure
M,298.8,309.9,1741.0,27.7,50.0,0,No Failure
L,298.8,309.9,1550.0,38.8,53.0,0,No Failure
M,298.8,310.0,1486.0,38.5,55.0,0,No Failure
L,298.9,310.1,1602.0,38.2,58.0,0,No Failure
L,299.0,310.2,1477.0,37.9,60.0,0,No Failure
L,299.0,310.1,1618.0,29.2,62.0,0,No Failure
M,299.0,310.2,1628.0,35.8,64.0,0,No Failure
M,299.0,310.3,1662.0,33.6,67.0,0,No Failure
M,299.0,310.3,1657.0,31.0,70.0,0,No Failure
H,299.0,310.4,1677.0,30.8,73.0,0,No Failure
M,299.0,310.3,1447.0,39.9,78.0,0,No Failure
L,298.9,310.4,1831.0,25.4,81.0,0,No Failure
L,299.0,310.3,1584.0,34.4,83.0,0,No Failure
L,299.1,310.4,1450.0,40.9,85.0,0,No Failure
L,299.1,310.4,1428.0,46.9,87.0,0,No Failure
L,299.0,310.4,1382.0,53.0,89.0,0,No Failure
L,299.0,310.3,1501.0,43.0,91.0,0,No Failure
L,299.0,310.3,1475.0,42.4,93.0,0,No Failure
L,298.9,310.3,1364.0,54.0,95.0,0,No Failure
L,299.0,310.3,1472.0,36.1,97.0,0,No Failure
L,299.0,310.3,1437.0,47.8,99.0,0,No Failure
L,298.9,310.2,1491.0,45.1,101.0,0,No Failure
L,298.9,310.2,1706.0,27.6,103.0,0,No Failure
L,298.8,310.1,1607.0,39.5,105.0,0,No Failure
L,298.8,310.0,1412.0,46.3,107.0,0,No Failure
L,298.7,309.8,1546.0,40.9,109.0,0,No Failure
L,298.7,309.8,1365.0,50.5,111.0,0,No Failure
L,298.6,309.8,1544.0,30.2,113.0,0,No Failure
M,298.6,309.8,1419.0,44.9,115.0,0,No Failure
L,298.6,309.8,1497.0,41.6,118.0,0,No Failure
L,298.5,309.7,1437.0,42.6,120.0,0,No Failure
L,298.5,309.6,1421.0,53.6,122.0,0,No Failure
M,298.5,309.6,1438.0,44.5,124.0,0,No Failure
M,298.5,309.5,1315.0,48.9,127.0,0,No Failure
M,298.5,309.5,1366.0,61.9,130.0,0,No Failure
M,298.4,309.5,1519.0,35.4,133.0,0,No Failure
L,298.4,309.5,1692.0,28.3,136.0,0,No Failure
L,298.3,309.4,1570.0,35.6,138.0,0,No Failure
L,298.3,309.4,1568.0,35.8,140.0,0,No Failure
L,298.2,309.3,1355.0,43.8,142.0,0,No Failure
M,298.2,309.3,2056.0,18.7,144.0,0,No Failure
M,298.2,309.2,1332.0,60.2,147.0,0,No Failure
M,298.1,309.1,1448.0,52.5,150.0,0,No Failure
L,298.0,308.9,1578.0,35.6,153.0,0,No Failure
M,298.0,309.0,1562.0,39.2,155.0,0,No Failure
M,298.1,309.0,1976.0,19.3,158.0,0,No Failure
M,298.2,309.2,1524.0,34.6,161.0,0,No Failure
L,298.2,309.1,1429.0,48.5,164.0,0,No Failure
L,298.2,309.1,1568.0,36.3,166.0,0,No Failure
M,298.2,309.0,1723.0,26.6,168.0,0,No Failure
L,298.2,309.0,1341.0,43.8,171.0,0,No Failure
M,298.1,308.9,1353.0,46.2,173.0,0,No Failure
M,298.0,308.7,1479.0,58.5,176.0,1,PWF
L,298.0,308.8,1496.0,44.9,179.0,0,No Failure
M,298.0,308.7,1377.0,48.5,181.0,0,No Failure
H,297.9,308.5,1383.0,44.6,184.0,0,No Failure
L,298.0,308.7,1268.0,69.4,189.0,1,PWF
L,298.0,308.7,1629.0,34.3,191.0,0,No Failure
L,298.0,308.8,1790.0,27.2,193.0,0,No Failure
M,298.1,308.8,2206.0,16.3,195.0,0,No Failure
M,298.0,308.7,2101.0,17.4,198.0,0,No Failure
M,298.0,308.7,1436.0,48.2,201.0,0,No Failure
L,298.0,308.7,1462.0,48.2,204.0,0,No Failure
L,298.0,308.7,1771.0,26.2,206.0,0,No Failure
L,298.0,308.7,1506.0,47.0,208.0,0,No Failure
L,298.0,308.7,1626.0,36.7,210.0,0,No Failure
L,298.0,308.8,1610.0,33.7,212.0,0,No Failure
M,298.0,308.6,1376.0,55.7,214.0,0,No Failure
M,298.0,308.6,1507.0,37.3,217.0,0,No Failure
L,298.0,308.5,1429.0,37.7,220.0,1,TWF
M,298.1,308.7,1547.0,38.9,0.0,0,No Failure
L,298.1,308.7,1642.0,30.3,3.0,0,No Failure
H,298.0,308.7,1503.0,36.3,5.0,0,No Failure
L,298.1,308.7,1568.0,32.9,10.0,0,No Failure
M,298.1,308.8,1628.0,37.6,12.0,0,No Failure
M,298.2,308.9,1614.0,35.5,15.0,0,No Failure
L,298.2,308.9,1278.0,54.0,18.0,0,No Failure
M,298.2,308.9,1408.0,38.8,20.0,0,No Failure
H,298.2,309.0,1371.0,55.7,23.0,0,No Failure
M,298.2,308.9,1512.0,38.5,28.0,0,No Failure
L,298.3,309.1,1472.0,40.1,31.0,0,No Failure
M,298.2,308.9,1585.0,34.3,33.0,0,No Failure
H,298.2,309.0,1562.0,37.7,36.0,0,No Failure
L,298.3,309.0,1519.0,36.9,41.0,0,No Failure
L,298.2,309.0,1601.0,35.8,43.0,0,No Failure
L,298.2,309.0,2449.0,13.8,45.0,0,No Failure
L,298.1,309.0,1787.0,27.6,47.0,0,No Failure
H,298.1,309.1,1425.0,44.5,49.0,0,No Failure
L,298.1,309.0,1559.0,34.0,54.0,0,No Failure
L,298.1,309.0,1557.0,36.0,56.0,0,No Failure
L,298.1,309.0,1497.0,40.5,58.0,0,No Failure
H,298.1,309.0,1438.0,41.4,60.0,0,No Failure
M,298.1,308.9,1417.0,39.2,65.0,0,No Failure
M,298.0,308.9,1339.0,51.4,68.0,0,No Failure
L,298.0,308.8,1757.0,29.1,71.0,0,No Failure
L,298.0,308.8,1581.0,36.1,73.0,0,No Failure
M,298.2,308.9,1326.0,54.4,75.0,0,No Failure
M,298.4,309.1,1467.0,39.6,78.0,0,No Failure
L,298.4,309.1,1798.0,29.6,81.0,0,No Failure
M,298.5,309.2,1449.0,46.4,83.0,0,No Failure
M,298.4,309.1,1525.0,39.3,86.0,0,No Failure
L,298.4,309.0,2304.0,15.1,89.0,0,No Failure
L,298.3,308.9,1379.0,54.7,91.0,0,No Failure
L,298.4,308.9,1628.0,34.9,93.0,0,No Failure
L,298.4,309.0,1474.0,52.7,95.0,0,No Failure
M,298.4,309.0,1544.0,38.8,97.0,0,No Failure
L,298.4,308.9,1391.0,48.4,100.0,0,No Failure
L,298.3,308.9,1348.0,55.5,102.0,0,No Failure
M,298.3,308.8,1349.0,52.1,104.0,0,No Failure
L,298.4,308.9,1706.0,29.5,107.0,0,No Failure
L,298.4,308.9,1638.0,32.4,109.0,0,No Failure
L,298.4,308.8,1458.0,40.1,111.0,0,No Failure
L,298.5,308.9,1781.0,27.8,113.0,0,No Failure
L,298.5,308.8,1332.0,59.1,115.0,0,No Failure
M,298.4,308.7,1584.0,31.7,117.0,0,No Failure
L,298.4,308.6,1491.0,42.0,120.0,0,No Failure
H,298.4,308.5,1398.0,47.1,122.0,0,No Failure
L,298.3,308.4,1585.0,30.6,127.0,0,No Failure
M,298.2,308.3,1476.0,43.5,129.0,0,No Failure
L,298.2,308.3,1458.0,41.8,132.0,0,No Failure
M,298.2,308.4,1510.0,39.9,134.0,0,No Failure
L,298.2,308.4,1388.0,53.8,137.0,0,No Failure
L,298.2,308.3,2216.0,16.8,139.0,0,No Failure
L,298.2,308.3,1402.0,51.0,141.0,0,No Failure
M,298.0,308.2,2090.0,19.0,143.0,0,No Failure
L,298.0,308.2,1459.0,42.1,146.0,0,No Failure
M,298.0,308.1,1403.0,44.8,148.0,0,No Failure
L,298.1,308.2,1521.0,39.3,151.0,0,No Failure
L,298.2,308.2,1407.0,47.1,153.0,0,No Failure
M,298.1,308.2,1654.0,35.3,155.0,0,No Failure
L,298.2,308.4,1452.0,43.5,158.0,0,No Failure
L,298.3,308.4,1528.0,37.3,160.0,0,No Failure
L,298.2,308.3,1230.0,59.6,162.0,0,No Failure
L,298.2,308.2,1466.0,42.4,164.0,0,No Failure
L,298.2,308.2,1478.0,50.1,166.0,0,No Failure
L,298.2,308.3,2057.0,18.0,168.0,0,No Failure
L,298.3,308.4,1490.0,41.7,170.0,0,No Failure
L,298.3,308.4,1484.0,43.4,172.0,0,No Failure
L,298.3,308.4,1593.0,37.0,174.0,0,No Failure
L,298.3,308.3,1444.0,43.8,176.0,0,No Failure
M,298.3,308.4,1444.0,47.5,178.0,0,No Failure
M,298.2,308.3,1560.0,33.0,181.0,0,No Failure
H,298.1,308.3,1530.0,42.0,184.0,0,No Failure
L,298.2,308.4,1310.0,61.0,189.0,1,OSF
M,298.2,308.3,1639.0,33.3,191.0,0,No Failure
L,298.2,308.3,1400.0,48.7,194.0,0,No Failure
M,298.3,308.4,1486.0,44.2,196.0,0,No Failure
M,298.2,308.3,1448.0,43.3,199.0,0,No Failure
L,298.2,308.3,1688.0,32.0,202.0,0,No Failure
M,298.1,308.3,1453.0,41.5,204.0,0,No Failure
L,298.2,308.4,1497.0,37.7,207.0,0,No Failure
L,298.2,308.4,1355.0,49.4,209.0,0,No Failure
L,298.1,308.4,1592.0,38.2,211.0,0,No Failure
L,298.0,308.3,1544.0,34.7,213.0,0,No Failure
M,298.0,308.2,1373.0,51.2,215.0,0,No Failure
L,298.0,308.2,1365.0,52.9,218.0,1,OSF
L,298.0,308.1,1877.0,24.3,0.0,0,No Failure
L,297.9,308.1,1531.0,40.8,2.0,0,No Failure
L,297.9,308.0,1501.0,36.7,4.0,0,No Failure
L,297.9,308.0,1490.0,46.2,6.0,0,No Failure
M,297.8,307.8,1543.0,43.7,8.0,0,No Failure
L,297.8,307.8,1597.0,38.2,11.0,0,No Failure
H,297.8,307.9,1600.0,33.5,13.0,0,No Failure
M,297.8,307.8,1622.0,32.1,18.0,0,No Failure
L,297.8,307.8,1452.0,39.8,21.0,0,No Failure
L,297.8,307.8,1396.0,42.5,23.0,0,No Failure
L,297.8,307.7,1505.0,39.7,25.0,0,No Failure
L,297.8,307.8,1412.0,48.3,27.0,0,No Failure
L,297.8,307.7,1393.0,38.0,29.0,0,No Failure
L,297.7,307.7,1581.0,34.9,31.0,0,No Failure
L,297.8,307.8,1573.0,37.9,33.0,0,No Failure
M,297.8,307.9,1726.0,27.3,35.0,0,No Failure
M,297.9,307.9,1540.0,39.8,38.0,0,No Failure
L,297.9,308.0,1296.0,62.9,41.0,0,No Failure
M,297.8,307.9,1802.0,25.8,43.0,0,No Failure
L,297.8,307.9,1447.0,48.6,46.0,0,No Failure
H,297.8,307.8,1662.0,30.7,48.0,0,No Failure
L,297.8,307.8,1563.0,34.3,53.0,0,No Failure
L,297.9,307.8,1286.0,59.5,55.0,0,No Failure
L,297.9,307.7,1590.0,34.6,57.0,0,No Failure
L,297.9,307.7,1492.0,43.7,59.0,0,No Failure
L,297.7,307.6,1844.0,21.9,61.0,0,No Failure
H,297.7,307.6,1538.0,38.3,63.0,0,No Failure
L,297.7,307.6,1921.0,22.9,68.0,0,No Failure
M,297.8,307.8,1310.0,57.9,70.0,0,No Failure
L,297.9,307.8,1365.0,46.9,73.0,0,No Failure
M,297.9,307.8,1303.0,59.3,75.0,0,No Failure
L,297.9,307.8,1499.0,37.5,78.0,0,No Failure
L,297.9,307.8,1451.0,38.2,80.0,0,No Failure
M,297.9,307.9,1336.0,54.4,82.0,0,No Failure
L,297.9,307.9,1412.0,44.5,85.0,0,No Failure
L,298.0,308.0,1433.0,39.2,87.0,0,No Failure
L,297.9,307.9,1426.0,43.6,89.0,0,No Failure
L,297.9,307.9,1476.0,45.2,91.0,0,No Failure
H,297.9,307.9,1406.0,58.5,93.0,0,No Failure
L,297.8,307.8,1383.0,56.5,98.0,0,No Failure
L,297.9,307.8,1505.0,37.3,100.0,0,No Failure
L,297.9,307.8,1665.0,33.9,102.0,0,No Failure
L,297.9,307.8,1397.0,45.0,104.0,0,No Failure
M,297.9,307.8,1450.0,43.5,106.0,0,No Failure
L,298.0,307.8,1567.0,36.4,109.0,0,No Failure
M,298.0,308.0,1555.0,37.0,111.0,0,No Failure
H,298.0,307.8,1588.0,35.4,114.0,0,No Failure
L,298.0,307.8,1453.0,37.7,119.0,0,No Failure
L,298.0,307.8,1622.0,33.3,121.0,0,No Failure
